"method"	"x"	"n"	"mean"	"lower"	"upper"
"1"	"exact"	0	1	0	0	0.975
"2"	"exact"	0	2	0	0	0.841886116991581
"3"	"exact"	0	3	0	0	0.707598226178713
"4"	"exact"	0	4	0	0	0.602364635616475
"5"	"exact"	0	5	0	0	0.521823750104981
"6"	"exact"	0	6	0	0	0.4592581264399
"7"	"exact"	0	7	0	0	0.409616397225003
"8"	"exact"	0	8	0	0	0.369416647552819
"9"	"exact"	0	9	0	0	0.336267116879943
"10"	"exact"	0	10	0	0	0.308497107818761
"11"	"exact"	0	11	0	0	0.284914152918154
"12"	"exact"	0	12	0	0	0.264648469397051
"13"	"exact"	0	13	0	0	0.247052638000471
"14"	"exact"	0	14	0	0	0.231635761650116
"15"	"exact"	0	15	0	0	0.218019360910534
"16"	"exact"	0	16	0	0	0.205907214207823
"17"	"exact"	0	17	0	0	0.195064322969093
"18"	"exact"	0	18	0	0	0.185301968137852
"19"	"exact"	0	19	0	0	0.176466911806965
"20"	"exact"	0	20	0	0	0.168433470983085
"21"	"exact"	0	21	0	0	0.16109761521908
"22"	"exact"	0	22	0	0	0.154372512815575
"23"	"exact"	0	23	0	0	0.148185128915224
"24"	"exact"	0	24	0	0	0.142473597722526
"25"	"exact"	0	25	0	0	0.137185171530713
"26"	"exact"	0	26	0	0	0.132274604497754
"27"	"exact"	0	27	0	0	0.127702867615432
"28"	"exact"	0	28	0	0	0.123436118500264
"29"	"exact"	0	29	0	0	0.119444869069503
"30"	"exact"	0	30	0	0	0.115703308222028
"31"	"exact"	0	31	0	0	0.11218874692237
"32"	"exact"	0	32	0	0	0.108881160679353
"33"	"exact"	0	33	0	0	0.105762810074579
"34"	"exact"	0	34	0	0	0.102817924259013
"35"	"exact"	0	35	0	0	0.100032435572105
"36"	"exact"	0	36	0	0	0.097393755914492
"37"	"exact"	0	37	0	0	0.0948905874149899
"38"	"exact"	0	38	0	0	0.0925127614158783
"39"	"exact"	0	39	0	0	0.0902511009603343
"40"	"exact"	0	40	0	0	0.0880973028788024
