"N"	"MLE"	"lower"	"upper"
"1"	0	0.123873302707661	0.00778668771970912	0.364481323902558
"2"	5	0.0847458082229536	0.00513646263075626	0.258083429736427
"3"	10	0.0644030172614323	0.00383228892025059	0.199524481481046
"4"	15	0.051936040561698	0.00305631273256586	0.162561491877893
"5"	20	0.0435129176473623	0.0025416766700261	0.137130772515293
"6"	25	0.0374406887992832	0.00217538088239226	0.118570865762656
"7"	50	0.0220531207673272	0.00126433947008598	0.0706949087599991
"8"	100	0.0121039954198075	0.000688044764252907	0.039102236105513
"9"	150	0.00834100430958039	0.000472621365146114	0.0270238719422747
"10"	200	0.00636286403651062	0.000359929370605315	0.0206461751830367
"11"	300	0.00431580442125996	0.000243709215722687	0.0140257922706596
"12"	374	0.00348590553618036	0.000196707239061585	0.0113358955606246
