"Rgaller" "Rpara" "cooccur" "interact" "para_ID" "galler_ID" "post.mean" "post.sd"
"1" "Oelaea" "Aacumi" 0 0 1 63 0.123873302707661 0.0100216317395944
"2" "Obridg" "Aacumi" 1 0 1 60 0.113401695210061 0.00849927892281892
"3" "Ovaria" "Aacumi" 1 0 1 93 0.113401695210061 0.00849927892281892
"4" "Oobscu" "Aacumi" 1 0 1 81 0.113401695210061 0.00849927892281892
"5" "Okriec" "Aacumi" 4 0 1 71 0.090460506881541 0.00554824572104377
"6" "Onigri" "Aacumi" 0 0 1 78 0.123873302707661 0.0100216317395944
"7" "Ofoeti" "Aacumi" 1 0 1 64 0.113401695210061 0.00849927892281892
"8" "Ohasta" "Aacumi" 0 0 1 68 0.123873302707661 0.0100216317395944
"9" "Oadaph" "Aacumi" 3 0 1 56 0.097001659348976 0.00633375661796176
"10" "Ohelve" "Aacumi" 0 0 1 69 0.123873302707661 0.0100216317395944
"11" "Onival" "Aacumi" 0 0 1 79 0.123873302707661 0.0100216317395944
"12" "Ovimin" "Aacumi" 3 0 1 95 0.097001659348976 0.00633375661796176
"13" "Oproxi" "Aacumi" 0 0 1 85 0.123873302707661 0.0100216317395944
"14" "Ocolla" "Aacumi" 0 0 1 61 0.123873302707661 0.0100216317395944
"15" "Osamol" "Aacumi" 0 0 1 89 0.123873302707661 0.0100216317395944
"16" "Omyrsi" "Aacumi" 0 0 1 76 0.123873302707661 0.0100216317395944
"17" "Oarcti" "Aacumi" 0 0 1 57 0.123873302707661 0.0100216317395944
"18" "Eboreo" "Aacumi" 0 0 1 5 0.123873302707661 0.0100216317395944
"19" "Oglauc" "Aacumi" 0 0 1 67 0.123873302707661 0.0100216317395944
"20" "Elappo" "Aacumi" 0 0 1 15 0.123873302707661 0.0100216317395944
"21" "Elappc" "Aacumi" 0 0 1 14 0.123873302707661 0.0100216317395944
"22" "Olappo" "Aacumi" 0 0 1 73 0.123873302707661 0.0100216317395944
"23" "Olappl" "Aacumi" 0 0 1 72 0.123873302707661 0.0100216317395944
"24" "Emyrsi" "Aacumi" 1 0 1 17 0.113401695210061 0.00849927892281892
"25" "Ogalla" "Aacumi" 1 0 1 65 0.113401695210061 0.00849927892281892
"26" "Hischn" "Aacumi" 1 1 1 34 1 0
"27" "Ehasta" "Aacumi" 1 0 1 12 0.113401695210061 0.00849927892281892
"28" "Egemmf" "Aacumi" 1 0 1 10 0.113401695210061 0.00849927892281892
"29" "Omonti" "Aacumi" 0 0 1 75 0.123873302707661 0.0100216317395944
"30" "Eelaea" "Aacumi" 10 10 1 8 1 0
"31" "Hcarin" "Aacumi" 0 0 1 32 0.123873302707661 0.0100216317395944
"32" "Egemmh" "Aacumi" 1 1 1 11 1 0
"33" "Hplicg" "Aacumi" 0 0 1 40 0.123873302707661 0.0100216317395944
"34" "Omacul" "Aacumi" 1 0 1 74 0.113401695210061 0.00849927892281892
"35" "Hspirh" "Aacumi" 0 0 1 53 0.123873302707661 0.0100216317395944
"36" "Obrevi" "Aacumi" 0 0 1 59 0.123873302707661 0.0100216317395944
"37" "Oretic" "Aacumi" 0 0 1 87 0.123873302707661 0.0100216317395944
"38" "Oretus" "Aacumi" 0 0 1 88 0.123873302707661 0.0100216317395944
"39" "Enigri" "Aacumi" 1 1 1 19 1 0
"40" "Emucro" "Aacumi" 4 2 1 16 1 0
"41" "Ovesic" "Aacumi" 3 0 1 94 0.097001659348976 0.00633375661796176
"42" "Oviril" "Aacumi" 0 0 1 96 0.123873302707661 0.0100216317395944
