"Salix"	"Rgaller"	"cooccur"	"interact"	"salix_ID"	"galler_ID"	"post_mean"	"post_SD"
"1"	"elaeagnos"	"Oelaea"	4	4	17	63	0.743973394307767	0.0208156312994644
"2"	"appendiculata"	"Oelaea"	1	0	5	63	0.456512080518707	0.0403384966949806
"3"	"myrsinifolia"	"Oelaea"	2	0	34	63	0.392670223765779	0.0333507633690987
"4"	"foetida"	"Oelaea"	0	0	18	63	0.545143663965149	0.048141703207588
"5"	"hastata"	"Oelaea"	0	0	24	63	0.545143663965149	0.048141703207588
"6"	"daphnoides"	"Oelaea"	2	0	16	63	0.392670223765779	0.0333507633690987
"7"	"helvetica"	"Oelaea"	0	0	26	63	0.545143663965149	0.048141703207588
"8"	"glaucosericea"	"Oelaea"	0	0	23	63	0.545143663965149	0.048141703207588
"9"	"cinerea"	"Oelaea"	0	0	13	63	0.545143663965149	0.048141703207588
"10"	"purpurea"	"Oelaea"	2	0	41	63	0.392670223765779	0.0333507633690987
"11"	"alba"	"Oelaea"	0	0	2	63	0.545143663965149	0.048141703207588
"12"	"fragilis"	"Oelaea"	0	0	19	63	0.545143663965149	0.048141703207588
"13"	"repens"	"Oelaea"	0	0	42	63	0.545143663965149	0.048141703207588
"14"	"lapponum"	"Oelaea"	0	0	29	63	0.545143663965149	0.048141703207588
"15"	"myrsinites"	"Oelaea"	0	0	35	63	0.545143663965149	0.048141703207588
"16"	"phylicifolia"	"Oelaea"	0	0	38	63	0.545143663965149	0.048141703207588
"17"	"glauca"	"Oelaea"	0	0	22	63	0.545143663965149	0.048141703207588
"18"	"caprea"	"Oelaea"	0	0	11	63	0.545143663965149	0.048141703207588
"19"	"mielichhoferi"	"Oelaea"	0	0	33	63	0.545143663965149	0.048141703207588
"20"	"waldsteiniana"	"Oelaea"	0	0	52	63	0.545143663965149	0.048141703207588
"21"	"pentandra"	"Oelaea"	0	0	37	63	0.545143663965149	0.048141703207588
"22"	"breviserrata"	"Oelaea"	0	0	10	63	0.545143663965149	0.048141703207588
"23"	"reticulata"	"Oelaea"	0	0	43	63	0.545143663965149	0.048141703207588
"24"	"retusa"	"Oelaea"	0	0	44	63	0.545143663965149	0.048141703207588
"25"	"aurita"	"Oelaea"	0	0	6	63	0.545143663965149	0.048141703207588
"26"	"triandra"	"Oelaea"	0	0	48	63	0.545143663965149	0.048141703207588
"27"	"lanata"	"Oelaea"	0	0	28	63	0.545143663965149	0.048141703207588
"28"	"herbacea"	"Oelaea"	0	0	27	63	0.545143663965149	0.048141703207588
"29"	"borealis"	"Oelaea"	0	0	9	63	0.545143663965149	0.048141703207588
"30"	"myrtilloides"	"Oelaea"	0	0	36	63	0.545143663965149	0.048141703207588
"31"	"viminalis"	"Oelaea"	0	0	49	63	0.545143663965149	0.048141703207588
"32"	"glabra"	"Oelaea"	0	0	21	63	0.545143663965149	0.048141703207588
"33"	"apennina"	"Oelaea"	0	0	4	63	0.545143663965149	0.048141703207588
"34"	"rubens"	"Oelaea"	0	0	46	63	0.545143663965149	0.048141703207588
