"N"	"MLE"	"lower"	"upper"
"1"	0	0.0761557077114137	0.000539447358164363	0.303526030572679
"2"	5	0.0493281514898408	0.00033740534626494	0.202519065973704
"3"	10	0.0364779687818902	0.000245461748159492	0.15180072524046
"4"	15	0.0289391922979288	0.00019289542386665	0.121363283012645
"5"	20	0.0239827580808419	0.000158871951941154	0.101081781912108
"6"	25	0.0204758465706109	0.000135051019366425	0.0866037175771214
"7"	50	0.0118280112123852	7.71853150160979e-05	0.0504543956188906
"8"	100	0.00641193577106365	4.15655877632794e-05	0.0274946116647132
"9"	150	0.00439805538653636	2.84406686546023e-05	0.0188953756778952
"10"	200	0.00334686256325917	2.16153224310011e-05	0.0143935383210255
"11"	300	0.00226441357584936	1.4605233577902e-05	0.00974836955652592
"12"	374	0.0018271238561182	1.17785068329474e-05	0.00786908548668519
