"Rgaller" "Rpara" "cooccur" "interact" "para_ID" "galler_ID" "post.mean" "post.sd"
"1" "Oelaea" "Aacumi" 0 0 1 63 0.127340212208506 0.00865366270425834
"2" "Obridg" "Aacumi" 1 0 1 60 0.118140224993117 0.00752694913859281
"3" "Ovaria" "Aacumi" 1 0 1 93 0.118140224993117 0.00752694913859281
"4" "Oobscu" "Aacumi" 1 0 1 81 0.118140224993117 0.00752694913859281
"5" "Okriec" "Aacumi" 4 0 1 71 0.0970955495060608 0.00520552219503269
"6" "Onigri" "Aacumi" 0 0 1 78 0.127340212208506 0.00865366270425834
"7" "Ofoeti" "Aacumi" 1 0 1 64 0.118140224993117 0.00752694913859281
"8" "Ohasta" "Aacumi" 0 0 1 68 0.127340212208506 0.00865366270425834
"9" "Oadaph" "Aacumi" 3 0 1 56 0.103224797963371 0.00584353345102062
"10" "Ohelve" "Aacumi" 0 0 1 69 0.127340212208506 0.00865366270425834
"11" "Onival" "Aacumi" 0 0 1 79 0.127340212208506 0.00865366270425834
"12" "Ovimin" "Aacumi" 3 0 1 95 0.103224797963371 0.00584353345102062
"13" "Oproxi" "Aacumi" 0 0 1 85 0.127340212208506 0.00865366270425834
"14" "Ocolla" "Aacumi" 0 0 1 61 0.127340212208506 0.00865366270425834
"15" "Osamol" "Aacumi" 0 0 1 89 0.127340212208506 0.00865366270425834
"16" "Omyrsi" "Aacumi" 0 0 1 76 0.127340212208506 0.00865366270425834
"17" "Oarcti" "Aacumi" 0 0 1 57 0.127340212208506 0.00865366270425834
"18" "Eboreo" "Aacumi" 0 0 1 5 0.127340212208506 0.00865366270425834
"19" "Oglauc" "Aacumi" 0 0 1 67 0.127340212208506 0.00865366270425834
"20" "Elappo" "Aacumi" 0 0 1 15 0.127340212208506 0.00865366270425834
"21" "Elappc" "Aacumi" 0 0 1 14 0.127340212208506 0.00865366270425834
"22" "Olappo" "Aacumi" 0 0 1 73 0.127340212208506 0.00865366270425834
"23" "Olappl" "Aacumi" 0 0 1 72 0.127340212208506 0.00865366270425834
"24" "Emyrsi" "Aacumi" 1 0 1 17 0.118140224993117 0.00752694913859281
"25" "Ogalla" "Aacumi" 1 0 1 65 0.118140224993117 0.00752694913859281
"26" "Hischn" "Aacumi" 1 1 1 34 1 0
"27" "Ehasta" "Aacumi" 1 0 1 12 0.118140224993117 0.00752694913859281
"28" "Egemmf" "Aacumi" 1 0 1 10 0.118140224993117 0.00752694913859281
"29" "Omonti" "Aacumi" 0 0 1 75 0.127340212208506 0.00865366270425834
"30" "Eelaea" "Aacumi" 10 10 1 8 1 0
"31" "Hcarin" "Aacumi" 0 0 1 32 0.127340212208506 0.00865366270425834
"32" "Egemmh" "Aacumi" 1 1 1 11 1 0
"33" "Hplicg" "Aacumi" 0 0 1 40 0.127340212208506 0.00865366270425834
"34" "Omacul" "Aacumi" 1 0 1 74 0.118140224993117 0.00752694913859281
"35" "Hspirh" "Aacumi" 0 0 1 53 0.127340212208506 0.00865366270425834
"36" "Obrevi" "Aacumi" 0 0 1 59 0.127340212208506 0.00865366270425834
"37" "Oretic" "Aacumi" 0 0 1 87 0.127340212208506 0.00865366270425834
"38" "Oretus" "Aacumi" 0 0 1 88 0.127340212208506 0.00865366270425834
"39" "Enigri" "Aacumi" 1 1 1 19 1 0
"40" "Emucro" "Aacumi" 4 2 1 16 1 0
"41" "Ovesic" "Aacumi" 3 0 1 94 0.103224797963371 0.00584353345102062
