"Rgaller" "Rpara" "cooccur" "interact" "para_ID" "galler_ID" "post.mean" "post.sd"
"1" "Oelaea" "Aacumi" 0 0 1 63 0.0761557077114137 0.00765274965684165
"2" "Obridg" "Aacumi" 1 0 1 60 0.0686847451607716 0.00627525110760133
"3" "Ovaria" "Aacumi" 1 0 1 93 0.0686847451607716 0.00627525110760133
"4" "Oobscu" "Aacumi" 1 0 1 81 0.0686847451607716 0.00627525110760133
"5" "Okriec" "Aacumi" 4 0 1 71 0.0530669566449162 0.00380874103608909
"6" "Onigri" "Aacumi" 0 0 1 78 0.0761557077114137 0.00765274965684165
"7" "Ofoeti" "Aacumi" 1 0 1 64 0.0686847451607716 0.00627525110760133
"8" "Ohasta" "Aacumi" 0 0 1 68 0.0761557077114137 0.00765274965684165
"9" "Oadaph" "Aacumi" 3 0 1 56 0.0574190043714018 0.00443857747106252
"10" "Ohelve" "Aacumi" 0 0 1 69 0.0761557077114137 0.00765274965684165
"11" "Onival" "Aacumi" 0 0 1 79 0.0761557077114137 0.00765274965684165
"12" "Ovimin" "Aacumi" 3 0 1 95 0.0574190043714018 0.00443857747106252
"13" "Oproxi" "Aacumi" 0 0 1 85 0.0761557077114137 0.00765274965684165
"14" "Ocolla" "Aacumi" 0 0 1 61 0.0761557077114137 0.00765274965684165
"15" "Osamol" "Aacumi" 0 0 1 89 0.0761557077114137 0.00765274965684165
"16" "Omyrsi" "Aacumi" 0 0 1 76 0.0761557077114137 0.00765274965684165
"17" "Oarcti" "Aacumi" 0 0 1 57 0.0761557077114137 0.00765274965684165
"18" "Eboreo" "Aacumi" 0 0 1 5 0.0761557077114137 0.00765274965684165
"19" "Oglauc" "Aacumi" 0 0 1 67 0.0761557077114137 0.00765274965684165
"20" "Elappo" "Aacumi" 0 0 1 15 0.0761557077114137 0.00765274965684165
"21" "Elappc" "Aacumi" 0 0 1 14 0.0761557077114137 0.00765274965684165
"22" "Olappo" "Aacumi" 0 0 1 73 0.0761557077114137 0.00765274965684165
"23" "Olappl" "Aacumi" 0 0 1 72 0.0761557077114137 0.00765274965684165
"24" "Emyrsi" "Aacumi" 1 0 1 17 0.0686847451607716 0.00627525110760133
"25" "Ogalla" "Aacumi" 1 0 1 65 0.0686847451607716 0.00627525110760133
"26" "Hischn" "Aacumi" 1 1 1 34 1 0
"27" "Ehasta" "Aacumi" 1 0 1 12 0.0686847451607716 0.00627525110760133
"28" "Egemmf" "Aacumi" 1 0 1 10 0.0686847451607716 0.00627525110760133
"29" "Omonti" "Aacumi" 0 0 1 75 0.0761557077114137 0.00765274965684165
"30" "Eelaea" "Aacumi" 10 10 1 8 1 0
"31" "Hcarin" "Aacumi" 0 0 1 32 0.0761557077114137 0.00765274965684165
"32" "Egemmh" "Aacumi" 1 1 1 11 1 0
"33" "Hplicg" "Aacumi" 0 0 1 40 0.0761557077114137 0.00765274965684165
"34" "Omacul" "Aacumi" 1 0 1 74 0.0686847451607716 0.00627525110760133
"35" "Hspirh" "Aacumi" 0 0 1 53 0.0761557077114137 0.00765274965684165
"36" "Obrevi" "Aacumi" 0 0 1 59 0.0761557077114137 0.00765274965684165
"37" "Oretic" "Aacumi" 0 0 1 87 0.0761557077114137 0.00765274965684165
"38" "Oretus" "Aacumi" 0 0 1 88 0.0761557077114137 0.00765274965684165
"39" "Enigri" "Aacumi" 1 1 1 19 1 0
"40" "Emucro" "Aacumi" 4 2 1 16 1 0
"41" "Ovesic" "Aacumi" 3 0 1 94 0.0574190043714018 0.00443857747106252
"42" "Oviril" "Aacumi" 0 0 1 96 0.0761557077114137 0.00765274965684165
"43" "Opedun" "Aacumi" 0 0 1 82 0.0761557077114137 0.00765274965684165
"44" "Otrian" "Aacumi" 0 0 1 92 0.0761557077114137 0.00765274965684165
"45" "Oglabr" "Aacumi" 0 0 1 66 0.0761557077114137 0.00765274965684165
"46" "Opustu" "Aacumi" 0 0 1 86 0.0761557077114137 0.00765274965684165
"47" "Oherba" "Aacumi" 0 0 1 70 0.0761557077114137 0.00765274965684165
"48" "Evenus" "Aacumi" 0 0 1 26 0.0761557077114137 0.00765274965684165
"49" "Onorve" "Aacumi" 0 0 1 80 0.0761557077114137 0.00765274965684165
"50" "Ephyli" "Aacumi" 0 0 1 20 0.0761557077114137 0.00765274965684165
"51" "Ospeit" "Aacumi" 0 0 1 90 0.0761557077114137 0.00765274965684165
"52" "Obella" "Aacumi" 0 0 1 58 0.0761557077114137 0.00765274965684165
"53" "Hpruss" "Aacumi" 0 0 1 44 0.0761557077114137 0.00765274965684165
"54" "Odolic" "Aacumi" 0 0 1 62 0.0761557077114137 0.00765274965684165
"55" "Hspira" "Aacumi" 0 0 1 52 0.0761557077114137 0.00765274965684165
"56" "Elanat" "Aacumi" 0 0 1 13 0.0761557077114137 0.00765274965684165
"57" "Omyrti" "Aacumi" 0 0 1 77 0.0761557077114137 0.00765274965684165
"58" "Hnudip" "Aacumi" 0 0 1 37 0.0761557077114137 0.00765274965684165
"59" "Hleuco" "Aacumi" 1 0 1 36 0.0686847451607716 0.00627525110760133
"60" "Hacuti" "Aacumi" 0 0 1 28 0.0761557077114137 0.00765274965684165
"61" "Hplicl" "Aacumi" 0 0 1 41 0.0761557077114137 0.00765274965684165
"62" "Etesta" "Aacumi" 3 3 1 25 1 0
"63" "Hplicd" "Aacumi" 2 0 1 39 0.0625486505717066 0.00523839734585215
"64" "Edaphn" "Aacumi" 3 0 1 7 0.0574190043714018 0.00443857747106252
"65" "Hpolit" "Aacumi" 2 0 1 43 0.0625486505717066 0.00523839734585215
"66" "Epurpu" "Aacumi" 9 8 1 21 1 0
"67" "Eatraa" "Aacumi" 3 3 1 3 1 0
"68" "Eangus" "Aacumi" 1 0 1 1 0.0686847451607716 0.00627525110760133
"69" "Hangli" "Aacumi" 0 0 1 30 0.0761557077114137 0.00765274965684165
"70" "Hleuca" "Aacumi" 2 0 1 35 0.0625486505717066 0.00523839734585215
"71" "Hoblit" "Aacumi" 1 0 1 38 0.0686847451607716 0.00627525110760133
"72" "Heryth" "Aacumi" 0 0 1 33 0.0761557077114137 0.00765274965684165
"73" "Halien" "Aacumi" 1 0 1 29 0.0686847451607716 0.00627525110760133
"74" "Hsglab" "Aacumi" 0 0 1 48 0.0761557077114137 0.00765274965684165
"75" "Htuber" "Aacumi" 0 0 1 54 0.0761557077114137 0.00765274965684165
"76" "Eweiff" "Aacumi" 0 0 1 27 0.0761557077114137 0.00765274965684165
"77" "Esubge" "Aacumi" 0 0 1 24 0.0761557077114137 0.00765274965684165
"78" "Egemmc" "Aacumi" 0 0 1 9 0.0761557077114137 0.00765274965684165
"79" "Eaurit" "Aacumi" 5 5 1 4 1 0
"80" "Ospset" "Aacumi" 0 0 1 91 0.0761557077114137 0.00765274965684165
"81" "Emyrti" "Aacumi" 0 0 1 18 0.0761557077114137 0.00765274965684165
"82" "Esmyrt" "Aacumi" 0 0 1 23 0.0761557077114137 0.00765274965684165
"83" "Esmyrs" "Aacumi" 0 0 1 22 0.0761557077114137 0.00765274965684165
"84" "Eciner" "Aacumi" 1 1 1 6 1 0
"85" "Eappen" "Aacumi" 1 1 1 2 1 0
"86" "Hpscho" "Aacumi" 0 0 1 45 0.0761557077114137 0.00765274965684165
"87" "Hplicp" "Aacumi" 0 0 1 42 0.0761557077114137 0.00765274965684165
"88" "Hscapr" "Aacumi" 0 0 1 47 0.0761557077114137 0.00765274965684165
"89" "Hanoma" "Aacumi" 0 0 1 31 0.0761557077114137 0.00765274965684165
"90" "Oaacut" "Aacumi" 0 0 1 55 0.0761557077114137 0.00765274965684165
"91" "Hpurpu" "Aacumi" 0 0 1 46 0.0761557077114137 0.00765274965684165
"92" "Opolar" "Aacumi" 0 0 1 83 0.0761557077114137 0.00765274965684165
"93" "Opprox" "Aacumi" 0 0 1 84 0.0761557077114137 0.00765274965684165
"94" "Hspecc" "Aacumi" 0 0 1 51 0.0761557077114137 0.00765274965684165
"95" "Hsglau" "Aacumi" 0 0 1 49 0.0761557077114137 0.00765274965684165
"96" "Hslana" "Aacumi" 0 0 1 50 0.0761557077114137 0.00765274965684165
"97" "Oelaea" "Aalvea" 0 0 2 63 0.0761557077114137 0.00765274965684165
"98" "Obridg" "Aalvea" 2 0 2 60 0.0625486505717066 0.00523839734585215
"99" "Ovaria" "Aalvea" 1 1 2 93 1 0
"100" "Oobscu" "Aalvea" 0 0 2 81 0.0761557077114137 0.00765274965684165
"101" "Okriec" "Aalvea" 1 0 2 71 0.0686847451607716 0.00627525110760133
"102" "Onigri" "Aalvea" 1 0 2 78 0.0686847451607716 0.00627525110760133
"103" "Ofoeti" "Aalvea" 0 0 2 64 0.0761557077114137 0.00765274965684165
"104" "Ohasta" "Aalvea" 0 0 2 68 0.0761557077114137 0.00765274965684165
"105" "Oadaph" "Aalvea" 0 0 2 56 0.0761557077114137 0.00765274965684165
"106" "Ohelve" "Aalvea" 0 0 2 69 0.0761557077114137 0.00765274965684165
"107" "Onival" "Aalvea" 0 0 2 79 0.0761557077114137 0.00765274965684165
"108" "Ovimin" "Aalvea" 2 2 2 95 1 0
"109" "Oproxi" "Aalvea" 1 0 2 85 0.0686847451607716 0.00627525110760133
"110" "Ocolla" "Aalvea" 0 0 2 61 0.0761557077114137 0.00765274965684165
"111" "Osamol" "Aalvea" 0 0 2 89 0.0761557077114137 0.00765274965684165
"112" "Omyrsi" "Aalvea" 0 0 2 76 0.0761557077114137 0.00765274965684165
"113" "Oarcti" "Aalvea" 0 0 2 57 0.0761557077114137 0.00765274965684165
"114" "Eboreo" "Aalvea" 0 0 2 5 0.0761557077114137 0.00765274965684165
"115" "Oglauc" "Aalvea" 0 0 2 67 0.0761557077114137 0.00765274965684165
"116" "Elappo" "Aalvea" 0 0 2 15 0.0761557077114137 0.00765274965684165
"117" "Elappc" "Aalvea" 0 0 2 14 0.0761557077114137 0.00765274965684165
"118" "Olappo" "Aalvea" 0 0 2 73 0.0761557077114137 0.00765274965684165
"119" "Olappl" "Aalvea" 0 0 2 72 0.0761557077114137 0.00765274965684165
"120" "Emyrsi" "Aalvea" 0 0 2 17 0.0761557077114137 0.00765274965684165
"121" "Ogalla" "Aalvea" 0 0 2 65 0.0761557077114137 0.00765274965684165
"122" "Hischn" "Aalvea" 0 0 2 34 0.0761557077114137 0.00765274965684165
"123" "Ehasta" "Aalvea" 0 0 2 12 0.0761557077114137 0.00765274965684165
"124" "Egemmf" "Aalvea" 0 0 2 10 0.0761557077114137 0.00765274965684165
"125" "Omonti" "Aalvea" 0 0 2 75 0.0761557077114137 0.00765274965684165
"126" "Eelaea" "Aalvea" 0 0 2 8 0.0761557077114137 0.00765274965684165
"127" "Hcarin" "Aalvea" 0 0 2 32 0.0761557077114137 0.00765274965684165
"128" "Egemmh" "Aalvea" 0 0 2 11 0.0761557077114137 0.00765274965684165
"129" "Hplicg" "Aalvea" 0 0 2 40 0.0761557077114137 0.00765274965684165
"130" "Omacul" "Aalvea" 0 0 2 74 0.0761557077114137 0.00765274965684165
"131" "Hspirh" "Aalvea" 0 0 2 53 0.0761557077114137 0.00765274965684165
"132" "Obrevi" "Aalvea" 0 0 2 59 0.0761557077114137 0.00765274965684165
"133" "Oretic" "Aalvea" 0 0 2 87 0.0761557077114137 0.00765274965684165
"134" "Oretus" "Aalvea" 0 0 2 88 0.0761557077114137 0.00765274965684165
"135" "Enigri" "Aalvea" 1 0 2 19 0.0686847451607716 0.00627525110760133
"136" "Emucro" "Aalvea" 0 0 2 16 0.0761557077114137 0.00765274965684165
"137" "Ovesic" "Aalvea" 1 1 2 94 1 0
"138" "Oviril" "Aalvea" 0 0 2 96 0.0761557077114137 0.00765274965684165
"139" "Opedun" "Aalvea" 1 0 2 82 0.0686847451607716 0.00627525110760133
"140" "Otrian" "Aalvea" 0 0 2 92 0.0761557077114137 0.00765274965684165
"141" "Oglabr" "Aalvea" 0 0 2 66 0.0761557077114137 0.00765274965684165
"142" "Opustu" "Aalvea" 0 0 2 86 0.0761557077114137 0.00765274965684165
"143" "Oherba" "Aalvea" 0 0 2 70 0.0761557077114137 0.00765274965684165
"144" "Evenus" "Aalvea" 0 0 2 26 0.0761557077114137 0.00765274965684165
"145" "Onorve" "Aalvea" 0 0 2 80 0.0761557077114137 0.00765274965684165
"146" "Ephyli" "Aalvea" 0 0 2 20 0.0761557077114137 0.00765274965684165
"147" "Ospeit" "Aalvea" 0 0 2 90 0.0761557077114137 0.00765274965684165
"148" "Obella" "Aalvea" 1 0 2 58 0.0686847451607716 0.00627525110760133
"149" "Hpruss" "Aalvea" 0 0 2 44 0.0761557077114137 0.00765274965684165
"150" "Odolic" "Aalvea" 0 0 2 62 0.0761557077114137 0.00765274965684165
"151" "Hspira" "Aalvea" 0 0 2 52 0.0761557077114137 0.00765274965684165
"152" "Elanat" "Aalvea" 0 0 2 13 0.0761557077114137 0.00765274965684165
"153" "Omyrti" "Aalvea" 0 0 2 77 0.0761557077114137 0.00765274965684165
"154" "Hnudip" "Aalvea" 0 0 2 37 0.0761557077114137 0.00765274965684165
"155" "Hleuco" "Aalvea" 1 0 2 36 0.0686847451607716 0.00627525110760133
"156" "Hacuti" "Aalvea" 0 0 2 28 0.0761557077114137 0.00765274965684165
"157" "Hplicl" "Aalvea" 0 0 2 41 0.0761557077114137 0.00765274965684165
"158" "Etesta" "Aalvea" 0 0 2 25 0.0761557077114137 0.00765274965684165
"159" "Hplicd" "Aalvea" 0 0 2 39 0.0761557077114137 0.00765274965684165
"160" "Edaphn" "Aalvea" 0 0 2 7 0.0761557077114137 0.00765274965684165
"161" "Hpolit" "Aalvea" 0 0 2 43 0.0761557077114137 0.00765274965684165
"162" "Epurpu" "Aalvea" 0 0 2 21 0.0761557077114137 0.00765274965684165
"163" "Eatraa" "Aalvea" 0 0 2 3 0.0761557077114137 0.00765274965684165
"164" "Eangus" "Aalvea" 0 0 2 1 0.0761557077114137 0.00765274965684165
"165" "Hangli" "Aalvea" 0 0 2 30 0.0761557077114137 0.00765274965684165
"166" "Hleuca" "Aalvea" 0 0 2 35 0.0761557077114137 0.00765274965684165
"167" "Hoblit" "Aalvea" 0 0 2 38 0.0761557077114137 0.00765274965684165
"168" "Heryth" "Aalvea" 0 0 2 33 0.0761557077114137 0.00765274965684165
"169" "Halien" "Aalvea" 0 0 2 29 0.0761557077114137 0.00765274965684165
"170" "Hsglab" "Aalvea" 0 0 2 48 0.0761557077114137 0.00765274965684165
"171" "Htuber" "Aalvea" 0 0 2 54 0.0761557077114137 0.00765274965684165
"172" "Eweiff" "Aalvea" 0 0 2 27 0.0761557077114137 0.00765274965684165
"173" "Esubge" "Aalvea" 0 0 2 24 0.0761557077114137 0.00765274965684165
"174" "Egemmc" "Aalvea" 0 0 2 9 0.0761557077114137 0.00765274965684165
"175" "Eaurit" "Aalvea" 0 0 2 4 0.0761557077114137 0.00765274965684165
"176" "Ospset" "Aalvea" 0 0 2 91 0.0761557077114137 0.00765274965684165
"177" "Emyrti" "Aalvea" 0 0 2 18 0.0761557077114137 0.00765274965684165
"178" "Esmyrt" "Aalvea" 0 0 2 23 0.0761557077114137 0.00765274965684165
"179" "Esmyrs" "Aalvea" 0 0 2 22 0.0761557077114137 0.00765274965684165
"180" "Eciner" "Aalvea" 0 0 2 6 0.0761557077114137 0.00765274965684165
"181" "Eappen" "Aalvea" 0 0 2 2 0.0761557077114137 0.00765274965684165
"182" "Hpscho" "Aalvea" 0 0 2 45 0.0761557077114137 0.00765274965684165
"183" "Hplicp" "Aalvea" 0 0 2 42 0.0761557077114137 0.00765274965684165
"184" "Hscapr" "Aalvea" 0 0 2 47 0.0761557077114137 0.00765274965684165
"185" "Hanoma" "Aalvea" 0 0 2 31 0.0761557077114137 0.00765274965684165
"186" "Oaacut" "Aalvea" 0 0 2 55 0.0761557077114137 0.00765274965684165
"187" "Hpurpu" "Aalvea" 0 0 2 46 0.0761557077114137 0.00765274965684165
"188" "Opolar" "Aalvea" 0 0 2 83 0.0761557077114137 0.00765274965684165
"189" "Opprox" "Aalvea" 0 0 2 84 0.0761557077114137 0.00765274965684165
"190" "Hspecc" "Aalvea" 0 0 2 51 0.0761557077114137 0.00765274965684165
"191" "Hsglau" "Aalvea" 0 0 2 49 0.0761557077114137 0.00765274965684165
"192" "Hslana" "Aalvea" 0 0 2 50 0.0761557077114137 0.00765274965684165
"193" "Oelaea" "Atymbe" 1 1 13 63 1 0
"194" "Obridg" "Atymbe" 0 0 13 60 0.0761557077114137 0.00765274965684165
"195" "Ovaria" "Atymbe" 0 0 13 93 0.0761557077114137 0.00765274965684165
"196" "Oobscu" "Atymbe" 0 0 13 81 0.0761557077114137 0.00765274965684165
"197" "Okriec" "Atymbe" 1 0 13 71 0.0686847451607716 0.00627525110760133
"198" "Onigri" "Atymbe" 0 0 13 78 0.0761557077114137 0.00765274965684165
"199" "Ofoeti" "Atymbe" 0 0 13 64 0.0761557077114137 0.00765274965684165
"200" "Ohasta" "Atymbe" 0 0 13 68 0.0761557077114137 0.00765274965684165
"201" "Oadaph" "Atymbe" 1 0 13 56 0.0686847451607716 0.00627525110760133
"202" "Ohelve" "Atymbe" 0 0 13 69 0.0761557077114137 0.00765274965684165
"203" "Onival" "Atymbe" 0 0 13 79 0.0761557077114137 0.00765274965684165
"204" "Ovimin" "Atymbe" 0 0 13 95 0.0761557077114137 0.00765274965684165
"205" "Oproxi" "Atymbe" 0 0 13 85 0.0761557077114137 0.00765274965684165
"206" "Ocolla" "Atymbe" 0 0 13 61 0.0761557077114137 0.00765274965684165
"207" "Osamol" "Atymbe" 0 0 13 89 0.0761557077114137 0.00765274965684165
"208" "Omyrsi" "Atymbe" 0 0 13 76 0.0761557077114137 0.00765274965684165
"209" "Oarcti" "Atymbe" 0 0 13 57 0.0761557077114137 0.00765274965684165
"210" "Eboreo" "Atymbe" 0 0 13 5 0.0761557077114137 0.00765274965684165
"211" "Oglauc" "Atymbe" 0 0 13 67 0.0761557077114137 0.00765274965684165
"212" "Elappo" "Atymbe" 0 0 13 15 0.0761557077114137 0.00765274965684165
"213" "Elappc" "Atymbe" 0 0 13 14 0.0761557077114137 0.00765274965684165
"214" "Olappo" "Atymbe" 0 0 13 73 0.0761557077114137 0.00765274965684165
"215" "Olappl" "Atymbe" 0 0 13 72 0.0761557077114137 0.00765274965684165
"216" "Emyrsi" "Atymbe" 0 0 13 17 0.0761557077114137 0.00765274965684165
"217" "Ogalla" "Atymbe" 0 0 13 65 0.0761557077114137 0.00765274965684165
"218" "Hischn" "Atymbe" 0 0 13 34 0.0761557077114137 0.00765274965684165
"219" "Ehasta" "Atymbe" 0 0 13 12 0.0761557077114137 0.00765274965684165
"220" "Egemmf" "Atymbe" 0 0 13 10 0.0761557077114137 0.00765274965684165
"221" "Omonti" "Atymbe" 0 0 13 75 0.0761557077114137 0.00765274965684165
"222" "Eelaea" "Atymbe" 0 0 13 8 0.0761557077114137 0.00765274965684165
"223" "Hcarin" "Atymbe" 0 0 13 32 0.0761557077114137 0.00765274965684165
"224" "Egemmh" "Atymbe" 0 0 13 11 0.0761557077114137 0.00765274965684165
"225" "Hplicg" "Atymbe" 0 0 13 40 0.0761557077114137 0.00765274965684165
"226" "Omacul" "Atymbe" 0 0 13 74 0.0761557077114137 0.00765274965684165
"227" "Hspirh" "Atymbe" 0 0 13 53 0.0761557077114137 0.00765274965684165
"228" "Obrevi" "Atymbe" 0 0 13 59 0.0761557077114137 0.00765274965684165
"229" "Oretic" "Atymbe" 0 0 13 87 0.0761557077114137 0.00765274965684165
"230" "Oretus" "Atymbe" 0 0 13 88 0.0761557077114137 0.00765274965684165
"231" "Enigri" "Atymbe" 0 0 13 19 0.0761557077114137 0.00765274965684165
"232" "Emucro" "Atymbe" 0 0 13 16 0.0761557077114137 0.00765274965684165
"233" "Ovesic" "Atymbe" 0 0 13 94 0.0761557077114137 0.00765274965684165
"234" "Oviril" "Atymbe" 0 0 13 96 0.0761557077114137 0.00765274965684165
"235" "Opedun" "Atymbe" 0 0 13 82 0.0761557077114137 0.00765274965684165
"236" "Otrian" "Atymbe" 0 0 13 92 0.0761557077114137 0.00765274965684165
"237" "Oglabr" "Atymbe" 0 0 13 66 0.0761557077114137 0.00765274965684165
"238" "Opustu" "Atymbe" 0 0 13 86 0.0761557077114137 0.00765274965684165
"239" "Oherba" "Atymbe" 0 0 13 70 0.0761557077114137 0.00765274965684165
"240" "Evenus" "Atymbe" 0 0 13 26 0.0761557077114137 0.00765274965684165
"241" "Onorve" "Atymbe" 0 0 13 80 0.0761557077114137 0.00765274965684165
"242" "Ephyli" "Atymbe" 0 0 13 20 0.0761557077114137 0.00765274965684165
"243" "Ospeit" "Atymbe" 0 0 13 90 0.0761557077114137 0.00765274965684165
"244" "Obella" "Atymbe" 0 0 13 58 0.0761557077114137 0.00765274965684165
"245" "Hpruss" "Atymbe" 0 0 13 44 0.0761557077114137 0.00765274965684165
"246" "Odolic" "Atymbe" 0 0 13 62 0.0761557077114137 0.00765274965684165
"247" "Hspira" "Atymbe" 0 0 13 52 0.0761557077114137 0.00765274965684165
"248" "Elanat" "Atymbe" 0 0 13 13 0.0761557077114137 0.00765274965684165
"249" "Omyrti" "Atymbe" 0 0 13 77 0.0761557077114137 0.00765274965684165
"250" "Hnudip" "Atymbe" 0 0 13 37 0.0761557077114137 0.00765274965684165
"251" "Hleuco" "Atymbe" 0 0 13 36 0.0761557077114137 0.00765274965684165
"252" "Hacuti" "Atymbe" 0 0 13 28 0.0761557077114137 0.00765274965684165
"253" "Hplicl" "Atymbe" 0 0 13 41 0.0761557077114137 0.00765274965684165
"254" "Etesta" "Atymbe" 0 0 13 25 0.0761557077114137 0.00765274965684165
"255" "Hplicd" "Atymbe" 0 0 13 39 0.0761557077114137 0.00765274965684165
"256" "Edaphn" "Atymbe" 0 0 13 7 0.0761557077114137 0.00765274965684165
"257" "Hpolit" "Atymbe" 0 0 13 43 0.0761557077114137 0.00765274965684165
"258" "Epurpu" "Atymbe" 0 0 13 21 0.0761557077114137 0.00765274965684165
"259" "Eatraa" "Atymbe" 0 0 13 3 0.0761557077114137 0.00765274965684165
"260" "Eangus" "Atymbe" 0 0 13 1 0.0761557077114137 0.00765274965684165
"261" "Hangli" "Atymbe" 0 0 13 30 0.0761557077114137 0.00765274965684165
"262" "Hleuca" "Atymbe" 0 0 13 35 0.0761557077114137 0.00765274965684165
"263" "Hoblit" "Atymbe" 0 0 13 38 0.0761557077114137 0.00765274965684165
"264" "Heryth" "Atymbe" 0 0 13 33 0.0761557077114137 0.00765274965684165
"265" "Halien" "Atymbe" 0 0 13 29 0.0761557077114137 0.00765274965684165
"266" "Hsglab" "Atymbe" 0 0 13 48 0.0761557077114137 0.00765274965684165
"267" "Htuber" "Atymbe" 0 0 13 54 0.0761557077114137 0.00765274965684165
"268" "Eweiff" "Atymbe" 0 0 13 27 0.0761557077114137 0.00765274965684165
"269" "Esubge" "Atymbe" 0 0 13 24 0.0761557077114137 0.00765274965684165
"270" "Egemmc" "Atymbe" 0 0 13 9 0.0761557077114137 0.00765274965684165
"271" "Eaurit" "Atymbe" 0 0 13 4 0.0761557077114137 0.00765274965684165
"272" "Ospset" "Atymbe" 0 0 13 91 0.0761557077114137 0.00765274965684165
"273" "Emyrti" "Atymbe" 0 0 13 18 0.0761557077114137 0.00765274965684165
"274" "Esmyrt" "Atymbe" 0 0 13 23 0.0761557077114137 0.00765274965684165
"275" "Esmyrs" "Atymbe" 0 0 13 22 0.0761557077114137 0.00765274965684165
"276" "Eciner" "Atymbe" 0 0 13 6 0.0761557077114137 0.00765274965684165
"277" "Eappen" "Atymbe" 0 0 13 2 0.0761557077114137 0.00765274965684165
"278" "Hpscho" "Atymbe" 0 0 13 45 0.0761557077114137 0.00765274965684165
"279" "Hplicp" "Atymbe" 0 0 13 42 0.0761557077114137 0.00765274965684165
"280" "Hscapr" "Atymbe" 0 0 13 47 0.0761557077114137 0.00765274965684165
"281" "Hanoma" "Atymbe" 0 0 13 31 0.0761557077114137 0.00765274965684165
"282" "Oaacut" "Atymbe" 0 0 13 55 0.0761557077114137 0.00765274965684165
"283" "Hpurpu" "Atymbe" 0 0 13 46 0.0761557077114137 0.00765274965684165
"284" "Opolar" "Atymbe" 0 0 13 83 0.0761557077114137 0.00765274965684165
"285" "Opprox" "Atymbe" 0 0 13 84 0.0761557077114137 0.00765274965684165
"286" "Hspecc" "Atymbe" 0 0 13 51 0.0761557077114137 0.00765274965684165
"287" "Hsglau" "Atymbe" 0 0 13 49 0.0761557077114137 0.00765274965684165
"288" "Hslana" "Atymbe" 0 0 13 50 0.0761557077114137 0.00765274965684165
"289" "Oelaea" "Aprost" 0 0 10 63 0.0761557077114137 0.00765274965684165
"290" "Obridg" "Aprost" 0 0 10 60 0.0761557077114137 0.00765274965684165
"291" "Ovaria" "Aprost" 0 0 10 93 0.0761557077114137 0.00765274965684165
"292" "Oobscu" "Aprost" 0 0 10 81 0.0761557077114137 0.00765274965684165
"293" "Okriec" "Aprost" 0 0 10 71 0.0761557077114137 0.00765274965684165
"294" "Onigri" "Aprost" 0 0 10 78 0.0761557077114137 0.00765274965684165
"295" "Ofoeti" "Aprost" 0 0 10 64 0.0761557077114137 0.00765274965684165
"296" "Ohasta" "Aprost" 0 0 10 68 0.0761557077114137 0.00765274965684165
"297" "Oadaph" "Aprost" 0 0 10 56 0.0761557077114137 0.00765274965684165
"298" "Ohelve" "Aprost" 0 0 10 69 0.0761557077114137 0.00765274965684165
"299" "Onival" "Aprost" 0 0 10 79 0.0761557077114137 0.00765274965684165
"300" "Ovimin" "Aprost" 0 0 10 95 0.0761557077114137 0.00765274965684165
"301" "Oproxi" "Aprost" 0 0 10 85 0.0761557077114137 0.00765274965684165
"302" "Ocolla" "Aprost" 0 0 10 61 0.0761557077114137 0.00765274965684165
"303" "Osamol" "Aprost" 0 0 10 89 0.0761557077114137 0.00765274965684165
"304" "Omyrsi" "Aprost" 0 0 10 76 0.0761557077114137 0.00765274965684165
"305" "Oarcti" "Aprost" 0 0 10 57 0.0761557077114137 0.00765274965684165
"306" "Eboreo" "Aprost" 0 0 10 5 0.0761557077114137 0.00765274965684165
"307" "Oglauc" "Aprost" 0 0 10 67 0.0761557077114137 0.00765274965684165
"308" "Elappo" "Aprost" 0 0 10 15 0.0761557077114137 0.00765274965684165
"309" "Elappc" "Aprost" 0 0 10 14 0.0761557077114137 0.00765274965684165
"310" "Olappo" "Aprost" 0 0 10 73 0.0761557077114137 0.00765274965684165
"311" "Olappl" "Aprost" 0 0 10 72 0.0761557077114137 0.00765274965684165
"312" "Emyrsi" "Aprost" 0 0 10 17 0.0761557077114137 0.00765274965684165
"313" "Ogalla" "Aprost" 0 0 10 65 0.0761557077114137 0.00765274965684165
"314" "Hischn" "Aprost" 0 0 10 34 0.0761557077114137 0.00765274965684165
