"N"	"MLE"	"lower"	"upper"
"1"	0	0.0277842957869997	0.0126345125380935	0.0485889057905186
"2"	5	0.0273486959210088	0.0124346016801048	0.0478340235680925
"3"	10	0.0269265438186514	0.0122409186949549	0.0471022356483778
"4"	15	0.026517226210752	0.012053177010045	0.0463924983255927
"5"	20	0.0261201665596458	0.0118711073696824	0.0457038298446271
"6"	25	0.0257348223497254	0.0116944565464853	0.0450353058723107
"7"	50	0.0239669319292344	0.0108846038390645	0.0419660286310845
"8"	100	0.0210718150032049	0.00956046655546182	0.0369319195295351
"9"	150	0.018800753379922	0.00852356044905647	0.0329761399611839
"10"	200	0.0169716013789429	0.00768957015232548	0.0297857481935777
"11"	300	0.0142071364154972	0.00643107365799183	0.0249566520018907
"12"	374	0.0126788653939449	0.00573634413358084	0.0222832088412602
