,REARING_NUMBER,YEAR_OF_COLL,LEG,COUNTRY,REGION,SITE,NDECDEG,EDECDEG,ELEVATION,RSAL,RGALLER,RPAR,N_GALLS,NB_GALLS_PAR,site_time,site_ID
3235,199903A-S/A1-V1Okriec,1999,1999-07-19,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Eacicu,199,12,Zillis1999,639
3236,199903A-S/A1-V1Okriec,1999,1999-07-19,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Etorym,199,1,Zillis1999,639
3237,199903A-S/A1-V1Okriec,1999,1999-07-19,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Pdolic,199,7,Zillis1999,639
3238,199903A-S/A1-V1Okriec,1999,1999-07-19,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Chalci,199,53,Zillis1999,639
3239,199903A-S/A1-V1Okriec,1999,1999-07-19,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Broman,199,1,Zillis1999,639
3240,199903A-S/A1-V1Okriec,1999,1999-07-19,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Svesic,199,9,Zillis1999,639
3241,199903A-S/A1-V1Okriec,1999,1999-07-19,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Ccruxx,199,21,Zillis1999,639
3242,199903A-S/A1-V1Okriec,1999,1999-07-19,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Csalic,199,4,Zillis1999,639
3243,199903A-S/A1-V1Okriec,1999,1999-07-19,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Hruber,199,12,Zillis1999,639
3244,199903U-Z/10A-V1Ovimin,1999,1999-07-19,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Eacicu,266,14,Zillis1999,639
3245,199903U-Z/10A-V1Ovimin,1999,1999-07-19,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Etorym,266,23,Zillis1999,639
3246,199903U-Z/10A-V1Ovimin,1999,1999-07-19,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Pdolic,266,3,Zillis1999,639
3247,199903U-Z/10A-V1Ovimin,1999,1999-07-19,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Chalci,266,49,Zillis1999,639
3248,199903U-Z/10A-V1Ovimin,1999,1999-07-19,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Bepitr,266,1,Zillis1999,639
3249,199903U-Z/10A-V1Ovimin,1999,1999-07-19,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Bpicti,266,1,Zillis1999,639
3250,199903U-Z/10A-V1Ovimin,1999,1999-07-19,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Ibrevi,266,3,Zillis1999,639
3251,199903U-Z/10A-V1Ovimin,1999,1999-07-19,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Svesic,266,1,Zillis1999,639
3252,199903U-Z/10A-V1Ovimin,1999,1999-07-19,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Ccruxx,266,81,Zillis1999,639
