,Rgaller,Rpara,cooccur,interact
1,Oelaea,Aacumi,0,0
2,Obridg,Aacumi,1,0
3,Ovaria,Aacumi,1,0
4,Oobscu,Aacumi,1,0
5,Okriec,Aacumi,4,0
6,Onigri,Aacumi,0,0
7,Ofoeti,Aacumi,1,0
8,Ohasta,Aacumi,0,0
9,Oadaph,Aacumi,3,0
10,Ohelve,Aacumi,0,0
11,Onival,Aacumi,0,0
12,Ovimin,Aacumi,3,0
13,Oproxi,Aacumi,0,0
14,Ocolla,Aacumi,0,0
15,Osamol,Aacumi,0,0
16,Omyrsi,Aacumi,0,0
17,Oarcti,Aacumi,0,0
18,Eboreo,Aacumi,0,0
19,Oglauc,Aacumi,0,0
20,Elappo,Aacumi,0,0
21,Elappc,Aacumi,0,0
22,Olappo,Aacumi,0,0
23,Olappl,Aacumi,0,0
24,Emyrsi,Aacumi,1,0
25,Ogalla,Aacumi,1,0
26,Hischn,Aacumi,1,1
27,Ehasta,Aacumi,1,0
28,Egemmf,Aacumi,1,0
29,Omonti,Aacumi,0,0
30,Eelaea,Aacumi,10,10
31,Hcarin,Aacumi,0,0
32,Egemmh,Aacumi,1,1
33,Hplicg,Aacumi,0,0
34,Omacul,Aacumi,1,0
35,Hspirh,Aacumi,0,0
36,Obrevi,Aacumi,0,0
37,Oretic,Aacumi,0,0
38,Oretus,Aacumi,0,0
39,Enigri,Aacumi,1,1
40,Emucro,Aacumi,4,2
41,Ovesic,Aacumi,3,0
42,Oviril,Aacumi,0,0
43,Opedun,Aacumi,0,0
44,Otrian,Aacumi,0,0
45,Oglabr,Aacumi,0,0
46,Opustu,Aacumi,0,0
47,Oherba,Aacumi,0,0
48,Evenus,Aacumi,0,0
49,Onorve,Aacumi,0,0
50,Ephyli,Aacumi,0,0
51,Ospeit,Aacumi,0,0
52,Obella,Aacumi,0,0
53,Hpruss,Aacumi,0,0
54,Odolic,Aacumi,0,0
55,Hspira,Aacumi,0,0
56,Elanat,Aacumi,0,0
57,Omyrti,Aacumi,0,0
58,Hnudip,Aacumi,0,0
59,Hleuco,Aacumi,1,0
60,Hacuti,Aacumi,0,0
61,Hplicl,Aacumi,0,0
62,Etesta,Aacumi,3,3
63,Hplicd,Aacumi,2,0
64,Edaphn,Aacumi,3,0
65,Hpolit,Aacumi,2,0
66,Epurpu,Aacumi,9,8
67,Eatraa,Aacumi,3,3
68,Eangus,Aacumi,1,0
69,Hangli,Aacumi,0,0
70,Hleuca,Aacumi,2,0
71,Hoblit,Aacumi,1,0
72,Heryth,Aacumi,0,0
73,Halien,Aacumi,1,0
74,Hsglab,Aacumi,0,0
75,Htuber,Aacumi,0,0
76,Eweiff,Aacumi,0,0
77,Esubge,Aacumi,0,0
78,Egemmc,Aacumi,0,0
79,Eaurit,Aacumi,5,5
80,Ospset,Aacumi,0,0
81,Emyrti,Aacumi,0,0
82,Esmyrt,Aacumi,0,0
83,Esmyrs,Aacumi,0,0
84,Eciner,Aacumi,1,1
85,Eappen,Aacumi,1,1
86,Hpscho,Aacumi,0,0
87,Hplicp,Aacumi,0,0
88,Hscapr,Aacumi,0,0
89,Hanoma,Aacumi,0,0
90,Oaacut,Aacumi,0,0
91,Hpurpu,Aacumi,0,0
92,Opolar,Aacumi,0,0
93,Opprox,Aacumi,0,0
94,Hspecc,Aacumi,0,0
95,Hsglau,Aacumi,0,0
96,Hslana,Aacumi,0,0
97,Oelaea,Aalvea,0,0
98,Obridg,Aalvea,2,0
99,Ovaria,Aalvea,1,1
100,Oobscu,Aalvea,0,0
101,Okriec,Aalvea,1,0
102,Onigri,Aalvea,1,0
103,Ofoeti,Aalvea,0,0
104,Ohasta,Aalvea,0,0
105,Oadaph,Aalvea,0,0
106,Ohelve,Aalvea,0,0
