,Salix,Rgaller,cooccur,interact
1,elaeagnos,Oelaea,4,4
2,appendiculata,Oelaea,1,0
3,myrsinifolia,Oelaea,2,0
4,foetida,Oelaea,0,0
5,hastata,Oelaea,0,0
6,daphnoides,Oelaea,2,0
7,helvetica,Oelaea,0,0
8,glaucosericea,Oelaea,0,0
9,cinerea,Oelaea,0,0
10,purpurea,Oelaea,2,0
11,alba,Oelaea,0,0
12,fragilis,Oelaea,0,0
13,repens,Oelaea,0,0
14,lapponum,Oelaea,0,0
15,myrsinites,Oelaea,0,0
16,phylicifolia,Oelaea,0,0
17,glauca,Oelaea,0,0
18,caprea,Oelaea,0,0
19,mielichhoferi,Oelaea,0,0
20,waldsteiniana,Oelaea,0,0
21,pentandra,Oelaea,0,0
22,breviserrata,Oelaea,0,0
23,reticulata,Oelaea,0,0
24,retusa,Oelaea,0,0
25,aurita,Oelaea,0,0
26,triandra,Oelaea,0,0
27,lanata,Oelaea,0,0
28,herbacea,Oelaea,0,0
29,borealis,Oelaea,0,0
30,myrtilloides,Oelaea,0,0
31,viminalis,Oelaea,0,0
32,glabra,Oelaea,0,0
33,apennina,Oelaea,0,0
34,rubens,Oelaea,0,0
35,rosmarinifolia,Oelaea,0,0
36,caprea x appendiculata,Oelaea,0,0
37,cinerea oleifolia,Oelaea,0,0
38,viminalis x caprea,Oelaea,0,0
39,viminalis x ?,Oelaea,0,0
40,alpina?,Oelaea,0,0
41,phylicifolia x caprea ?,Oelaea,0,0
42,lapponum x glauca?,Oelaea,0,0
43,lapponum x glauca,Oelaea,0,0
44,aurita x caprea,Oelaea,0,0
45,starkeana,Oelaea,0,0
46,hastata x phylicifolia,Oelaea,0,0
47,lapponum x phylicifolia,Oelaea,0,0
48,acutifolia,Oelaea,0,0
49,bicolor,Oelaea,0,0
50,polaris,Oelaea,0,0
51,cinerea x myrsinifolia,Oelaea,0,0
52,fragilis x pentandra,Oelaea,0,0
53,elaeagnos,Obridg,2,0
54,appendiculata,Obridg,20,19
55,myrsinifolia,Obridg,6,0
56,foetida,Obridg,3,0
57,hastata,Obridg,6,0
58,daphnoides,Obridg,2,0
59,helvetica,Obridg,3,0
