,Aacumi,Aalvea,Acubic,Adelog,Agalli,Aminim,Amorri,Anigro,Apante,Aprost,Apusil,Atroch,Atymbe,Axanth,Bbrevi,Bconju,Bdisco,Bepitr,Bimmut,Binter,Bkopel,Blivid,Bobscu,Bpicti,Bpulch,Bracin,Bracsp,Broman,Campop,Ccruxx,Cdorsa,Celong,Cflavi,Cgraci,Chalci,Cincer,Claevi,Cnrsub,Coreop,Croman,Csalic,Ctenoc,Ctrifa,Cvarie,Cvitta,Dcoleo,Dlongi,Dstram,Dwestw,Eacicu,Ealbit,Eanali,Ecalca,Eclytu,Efront,Eheyer,Enobbe,Epygma,Eridol,Esalic,Espone,Etaige,Etorym,Etoxon,Eurozo,Euryto,Geliss,Gornat,Hruber,Ialter,Ibrevi,Ichnin,Ichnsp,Ilappo,Ireuni,Lalpic,Lalpio,Lalpiu,Latole,Lflexi,Lforti,Llappo,Llugen,Lpunct,Lsubco,Mesole,Mlongi,Mspone,Mvesic,Mymari,Olesic,Pclavi,Pcynip,Pdolic,Peuura,Pnemat,Polybl,Ppecti,Pponta,Ppumil,Psauli,Psoemi,Pterom,Rbrach,Salcal,Salpin,Saotis,Sborea,Sgranu,Slappo,Smorle,Snigri,Spygid,Srenov,Ssubar,Strico,Svesic,Tetras,Themip,Torymu,Tspfiv,Tspfou,Tspone,Tspsix,Tspthr,Tsptwo
Eangus,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eappen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Eatraa,3,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eaurit,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,5,0,-1,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0
Eboreo,0,0,-6,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-2,0,0,0,0,1,0,-13,0,-1,0,-7,0,0,22,0,-6,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,0,-1,0,0,0,0,0,-10,0,0,0,0,0,-1,0,0,1,0,-3,0,0,0,0,-1,-2,1,-2,0,0,0,-1,0,0,0,0,-1,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,-1,-1,-4,0,0,0,0,0,0,0,0,0
Eciner,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edaphn,-3,0,0,-1,0,1,0,0,0,0,0,0,0,0,-1,0,0,-2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-3,0,0,6,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,-3,0,0,-4,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,-1,0,0,0,0,0
Eelaea,10,0,0,0,0,2,0,0,0,1,0,0,0,0,-1,0,0,-2,0,-1,0,0,0,-1,-1,1,0,-2,0,5,0,-2,0,0,10,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,-6,1,0,0,0,0,0,1,0,0,10,0,0,-7,0,0,0,0,0,-2,-1,-1,1,0,-1,0,1,-1,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,-2,5,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,1,-1,0,-1,0,0,0
Egemmc,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egemmf,-1,0,-1,-2,0,0,0,0,0,0,-4,0,0,0,0,0,0,-1,-1,-1,-3,0,-2,-1,0,-8,0,-12,0,-1,0,-7,0,0,12,0,-4,-1,0,-1,0,0,0,0,0,0,0,0,-1,-10,0,0,0,0,0,0,1,0,0,0,0,0,-7,0,0,0,0,0,-12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-3,1,9,0,0,0,-7,0,0,0,0,0,0,-1,0,0,0,-3,0,0,-2,0,0,-5,1,0,0,0,0,0,0,0,0,0
Egemmh,1,0,0,-2,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-2,0,2,0,0,0,-11,0,0,13,0,-1,0,0,0,0,0,-2,0,0,0,0,0,0,-4,0,0,0,0,0,0,1,0,0,0,0,0,-3,0,-1,0,1,0,-2,0,0,-3,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,0,0,-1,-11,0,0,0,0,0,0,0,0,0
Ehasta,-1,0,-3,-3,-2,0,0,0,0,0,-6,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-5,0,-14,0,-1,0,-16,0,0,26,-1,-5,-1,0,-1,0,0,-1,0,0,0,0,0,-1,-11,0,0,0,0,0,0,3,0,0,0,0,-1,-15,0,0,0,-1,0,-4,0,0,3,0,-2,0,0,0,0,-1,-1,1,0,-1,-1,0,-1,0,0,0,0,0,0,-1,1,15,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-6,-2,0,-1,0,-1,-5,-17,0,0,0,0,0,0,0,0,0
Elanat,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-4,0,-1,0,-1,0,0,11,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,-1,0,0,0,0,0,1,0,0,-5,0,0,0,0,0,-1,0,0,1,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-4,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0
