,acutifolia,alba,alpina?,apennina,appendiculata,aurita,aurita x caprea,bicolor,borealis,breviserrata,caprea,caprea x appendiculata,cinerea,cinerea oleifolia,cinerea x myrsinifolia,daphnoides,elaeagnos,foetida,fragilis,fragilis x pentandra,glabra,glauca,glaucosericea,hastata,hastata x phylicifolia,helvetica,herbacea,lanata,lapponum,lapponum x glauca,lapponum x glauca?,lapponum x phylicifolia,mielichhoferi,myrsinifolia,myrsinites,myrtilloides,pentandra,phylicifolia,phylicifolia x caprea ?,polaris,purpurea,repens,reticulata,retusa,rosmarinifolia,rubens,starkeana,triandra,viminalis,viminalis x ?,viminalis x caprea,waldsteiniana
Eangus,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Eappen,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Eatraa,0,5,0,0,0,-1,0,0,0,0,0,0,-4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,-2,0,0,0
Eaurit,0,0,0,0,0,13,-1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0
Eboreo,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,24,4,-8,0,-3,-1,-7,-16,0,-1,0,0,-2,-2,0,-2,-5,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Eciner,0,0,0,0,0,-1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edaphn,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,8,-2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0
Eelaea,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,-3,21,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,0,0,0,0,0,0,-4,0,-1,-1,0,0,0,0,0,0,0,0
Egemmc,0,-1,0,0,0,-1,0,0,0,0,0,0,4,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
Egemmf,0,0,0,0,-4,0,0,0,0,-6,0,0,0,0,0,-3,0,12,0,0,0,0,-1,-10,0,-5,0,0,0,0,0,0,-7,-6,0,0,-2,0,0,0,0,0,-2,-1,0,0,0,0,0,0,0,8
Egemmh,0,0,0,0,-3,0,0,0,0,-1,0,0,0,0,0,0,0,-5,0,0,0,0,-7,-10,0,24,0,0,0,0,0,0,0,-4,0,0,-4,0,0,0,-1,0,-2,-2,0,0,0,0,0,0,0,0
Ehasta,0,0,0,0,-4,0,0,0,0,-3,-2,0,0,0,0,-3,0,-5,0,0,0,-6,-8,38,0,-10,0,-5,-5,0,0,0,-6,-8,-1,0,-2,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
Elanat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,-5,0,0,0,14,-5,0,0,0,0,-2,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elappc,0,0,0,0,0,0,0,0,-1,0,-2,0,0,0,0,0,0,0,0,0,0,-14,0,-4,-1,0,-2,-6,19,0,0,-1,0,-1,-2,-1,0,-5,0,0,0,0,-2,0,0,0,-1,0,0,0,0,0
Elappo,0,0,0,0,0,0,0,0,-1,0,-5,0,0,0,0,0,0,0,0,0,0,-20,0,-6,-1,0,-2,-10,34,0,-1,-1,0,-3,-2,-3,0,-7,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0
Emucro,0,0,0,0,0,19,0,0,0,0,-2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emyrsi,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,-3,0,-1,0,0,0,-1,0,-10,0,0,0,-1,-1,0,0,0,6,11,-1,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
Emyrti,0,0,0,0,0,0,0,0,-1,0,-4,0,0,0,0,0,0,0,0,0,0,-1,0,-2,-1,0,0,-1,-2,0,0,-1,0,-2,-1,7,0,-3,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
Enigri,0,0,0,0,0,0,0,0,0,0,5,-1,0,0,0,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0
Ephyli,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-6,0,0,0,-3,-3,0,0,0,0,-3,-2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epurpu,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-4,-2,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,-1,-1,0,0,0,0,0,0,0,0
Esmyrs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,3,-1,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esmyrt,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esubge,0,-1,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Etesta,0,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,4,0,0,-1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
Evenus,0,0,0,0,0,3,0,0,0,0,13,1,0,0,0,-1,-1,0,0,0,0,-1,0,-2,0,0,0,0,-4,0,0,0,0,-3,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
Eweiff,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,0
Hacuti,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-10,0,-1,0,0,-1,0,15,1,1,0,0,-3,-1,0,0,-3,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Halien,0,-1,0,0,-1,26,1,0,0,0,-7,0,-8,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,-1,-1,0,-3,0,0,0,-1,0,0,0,-1,0,0,0
Hangli,-1,-4,0,0,0,-1,0,0,0,0,-2,0,-14,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-13,0,0,0,0,-2,0,-1,34,1,1,0
Hanoma,0,-1,0,0,0,-6,-1,0,0,0,30,0,-14,0,0,-1,0,0,-2,-1,0,-2,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-2,0,-1,0,-2,0,0,0,0,0,0,0,0,0,0,0
Hcarin,0,0,0,0,-3,-2,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,-4,-3,0,-4,0,0,0,0,0,0,0,-3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heryth,0,-1,0,0,0,21,1,0,0,0,-6,0,-8,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-3,0,0,0,0,0,0,0,-1,0,0,0
Hischn,0,0,0,0,-5,-1,0,0,0,-1,-4,-1,-1,0,0,-9,-3,-3,0,0,0,-8,-1,-10,0,-1,0,-1,-4,0,0,0,8,30,0,-1,-2,-11,0,0,-4,0,0,0,0,0,0,0,0,0,0,-5
Hleuca,0,-2,0,0,0,-10,0,0,0,0,-13,0,67,0,-1,-1,0,0,-6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-2,0,0,0,-10,0,0,0,0,-1,0,0,-13,0,0,0
Hleuco,0,-1,0,0,-2,-7,0,0,0,0,39,0,-13,0,0,0,-1,0,-1,-1,0,-3,0,-1,0,0,0,0,-5,0,0,0,0,-3,0,-1,-1,-4,0,0,-3,0,0,0,0,0,0,0,-1,0,0,0
Hnudip,0,0,0,0,0,-1,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,-6,0,-5,0,0,0,-1,-4,0,0,0,0,-9,0,-2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoblit,0,13,0,0,0,-1,0,0,0,0,-2,0,-10,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-1,0,0,0,-12,0,0,0,0,4,0,-1,-6,0,-1,0
Hplicd,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,11,-3,0,-1,0,0,0,0,-3,0,0,0,0,0,0,0,0,-5,-2,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,-3
Hplicg,0,0,0,0,-3,0,0,0,0,0,-4,0,0,0,0,0,0,-1,0,0,0,34,10,-11,0,-5,0,-3,-16,0,-1,0,0,-8,-2,0,-3,-8,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Hplicl,0,0,0,0,0,-1,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,-1,12,1,0,0,0,-2,0,0,0,-2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
