Web	Proportion	Obs_LperSalix	Sample_mean	Sample_SD
1	0.5	28.53125	14.2604166667	1.7763568394e-15
2	0.5	28.84375	14.4166666667	1.7763568394e-15
3	0.5	27.7604166667	13.875	0.0
4	0.5	28.0833333333	14.0416666667	3.5527136788e-15
5	0.5	28.59375	14.2916666667	1.7763568394e-15
6	0.5	27.7395833333	13.8645833333	3.5527136788e-15
7	0.5	28.15625	14.0729166667	3.5527136788e-15
8	0.5	29.0729166667	14.53125	0.0
9	0.5	27.4375	13.71875	0.0
10	0.5	28.4895833333	14.2395833333	1.7763568394e-15
11	0.5	28.8541666667	14.4270833333	1.7763568394e-15
12	0.5	28.6458333333	14.3229166667	1.7763568394e-15
13	0.5	28.125	14.0625	0.0
14	0.5	28.53125	14.2604166667	1.7763568394e-15
15	0.5	29.4375	14.71875	0.0
16	0.5	29.0104166667	14.5	0.0
17	0.5	27.9895833333	13.9895833333	3.5527136788e-15
18	0.5	28.75	14.375	0.0
19	0.5	28.4270833333	14.2083333333	3.5527136788e-15
20	0.5	27.9791666667	13.9895833333	3.5527136788e-15
21	0.5	28.6875	14.34375	0.0
22	0.5	28.90625	14.4479166667	1.7763568394e-15
23	0.5	28.5104166667	14.25	0.0
24	0.5	29.09375	14.5416666667	1.7763568394e-15
25	0.5	28.5833333333	14.2916666667	1.7763568394e-15
26	0.5	28.9166666667	14.4583333333	1.7763568394e-15
27	0.5	28.8333333333	14.4166666667	1.7763568394e-15
28	0.5	28.8854166667	14.4375	0.0
29	0.5	29.21875	14.6041666667	1.7763568394e-15
30	0.5	28.8125	14.40625	0.0
31	0.5	28.6145833333	14.3020833333	1.7763568394e-15
32	0.5	28.6145833333	14.3020833333	1.7763568394e-15
33	0.5	28.78125	14.3854166667	1.7763568394e-15
34	0.5	28.5625	14.28125	0.0
35	0.5	28.3125	14.15625	0.0
36	0.5	28.09375	14.0416666667	3.5527136788e-15
37	0.5	28.1458333333	14.0729166667	3.5527136788e-15
38	0.5	28.4375	14.21875	0.0
39	0.5	28.4166666667	14.2083333333	3.5527136788e-15
40	0.5	28.4270833333	14.2083333333	3.5527136788e-15
41	0.5	28.4270833333	14.2083333333	3.5527136788e-15
42	0.5	28.6458333333	14.3229166667	1.7763568394e-15
43	0.5	28.0729166667	14.03125	0.0
44	0.5	28.78125	14.3854166667	1.7763568394e-15
45	0.5	27.96875	13.9791666667	3.5527136788e-15
46	0.5	29.5104166667	14.75	0.0
47	0.5	28.6770833333	14.3333333333	1.7763568394e-15
48	0.5	28.78125	14.3854166667	1.7763568394e-15
49	0.5	28.1041666667	14.0520833333	3.5527136788e-15
50	0.5	28.5208333333	14.2604166667	1.7763568394e-15
51	0.5	27.75	13.875	0.0
52	0.5	28.59375	14.2916666667	1.7763568394e-15
53	0.5	28.4375	14.21875	0.0
54	0.5	29.4895833333	14.7395833333	1.7763568394e-15
55	0.5	28.4166666667	14.2083333333	3.5527136788e-15
56	0.5	29.3229166667	14.65625	0.0
57	0.5	28.2291666667	14.1145833333	3.5527136788e-15
58	0.5	28.6145833333	14.3020833333	1.7763568394e-15
59	0.5	28.0729166667	14.03125	0.0
60	0.5	28.96875	14.4791666667	1.7763568394e-15
61	0.5	28.1458333333	14.0729166667	3.5527136788e-15
62	0.5	28.53125	14.2604166667	1.7763568394e-15
63	0.5	29.1354166667	14.5625	0.0
64	0.5	28.4583333333	14.2291666667	1.7763568394e-15
65	0.5	28.8333333333	14.4166666667	1.7763568394e-15
66	0.5	28.7395833333	14.3645833333	1.7763568394e-15
67	0.5	28.8020833333	14.3958333333	1.7763568394e-15
68	0.5	28.7291666667	14.3645833333	1.7763568394e-15
69	0.5	28.5833333333	14.2916666667	1.7763568394e-15
70	0.5	28.5416666667	14.2708333333	1.7763568394e-15
71	0.5	28.5416666667	14.2708333333	1.7763568394e-15
72	0.5	28.5729166667	14.28125	0.0
73	0.5	28.5520833333	14.2708333333	1.7763568394e-15
74	0.5	27.5208333333	13.7604166667	3.5527136788e-15
75	0.5	29.1041666667	14.5520833333	1.7763568394e-15
76	0.5	28.0625	14.03125	0.0
77	0.5	28.9375	14.46875	0.0
78	0.5	29.3854166667	14.6875	0.0
79	0.5	28.0729166667	14.03125	0.0
80	0.5	28.5104166667	14.25	0.0
81	0.5	28.65625	14.3229166667	1.7763568394e-15
82	0.5	28.8541666667	14.4270833333	1.7763568394e-15
83	0.5	27.90625	13.9479166667	3.5527136788e-15
84	0.5	28.3645833333	14.1770833333	3.5527136788e-15
85	0.5	29.3125	14.65625	0.0
86	0.5	28.8541666667	14.4270833333	1.7763568394e-15
87	0.5	28.375	14.1875	0.0
88	0.5	29.0416666667	14.5208333333	1.7763568394e-15
89	0.5	28.5208333333	14.2604166667	1.7763568394e-15
90	0.5	28.4895833333	14.2395833333	1.7763568394e-15
91	0.5	28.59375	14.2916666667	1.7763568394e-15
92	0.5	28.5625	14.28125	0.0
